"x","y","endX","endY","countP"
58,13,47.5,6.5,2
56,18,46.6666666666667,22,3
57.5,21.5,58.5,28,2
57.4444444444444,25.5555555555556,66.7777777777778,28.4444444444444,9
56.7,29.3,56.2,33.4,10
57.2727272727273,33.3636363636364,64.9090909090909,37.8181818181818,11
57.6190476190476,37.7142857142857,65.7619047619048,35.8095238095238,21
57.3571428571429,41.5714285714286,66.5714285714286,33.1428571428571,14
56.75,44.9166666666667,61.1666666666667,51.0833333333333,12
57.1818181818182,49.0909090909091,67.8181818181818,49.1818181818182,11
57.4761904761905,53.5238095238095,66.6190476190476,49.3809523809524,21
57,57.9090909090909,55.8181818181818,51.9090909090909,11
57.3,61.6,61.5,57,10
57.1,65.4,62.5,66,10
57.6153846153846,69.2307692307692,65.4615384615385,63.8461538461538,13
57.3333333333333,73.6666666666667,60.6666666666667,64.6666666666667,9
58.4,77.4,59.2,71.6,5
61,6,56,7.66666666666667,3
60,11,66,8,1
62.3333333333333,14.3333333333333,62.6666666666667,15.6666666666667,3
62.6666666666667,18.6666666666667,56.6666666666667,47.3333333333333,3
63,23,76,27,1
61.75,25.25,71,33,4
61,28.75,64.5,34.25,4
61.9,34.3,72.6,39.3,10
62.1666666666667,37.1666666666667,67,34.5,6
61.4,41.4,66.1,40.7,10
62,45.8571428571429,67.1428571428571,47,7
62,49.2857142857143,70.5714285714286,53.5714285714286,7
61.9,53.1,64.6,61.3,10
61.75,57.5833333333333,70.3333333333333,48.6666666666667,12
61.6666666666667,61.2222222222222,59.8888888888889,60,9
62.2857142857143,65.5714285714286,68.8571428571429,55.7142857142857,7
62,69,57,57.5714285714286,7
61.25,74.5,59.5,73.25,4
61,77.5,57.5,76,2
65,4,83,4,1
67,14,68,19.5,2
66,17.8,66.4,27,5
65.5,21.75,72.25,26.25,4
65.3,25.8,72.1,39.2,10
65.5384615384615,29.3076923076923,69.2307692307692,31.7692307692308,13
65.3,32.8,75.9,33.6,10
65,37.5,72.6875,35.875,16
65,41.6818181818182,73.2272727272727,42.1363636363636,22
65,45.6111111111111,75.2222222222222,40.7777777777778,18
65.6875,49.8125,72.8125,47.6875,16
65.4166666666667,53.25,69.1666666666667,56.5,12
65.3846153846154,57.6923076923077,66.3076923076923,57.3076923076923,13
65.0909090909091,61.6363636363636,69.1818181818182,59.3636363636364,11
65.2727272727273,65.0909090909091,67.0909090909091,59.6363636363636,11
65.4545454545455,69.6363636363636,75.2727272727273,69,11
65.5714285714286,72.8571428571429,73.5714285714286,70.8571428571429,7
64.25,77,69.75,62.5,4
70.5,5,69,6.5,2
70,8,85,6,1
69.8,14.4,64.6,40.2,5
69.6666666666667,17.3333333333333,80.3333333333333,4,3
70.125,22.25,79.25,19.625,8
69.3333333333333,26,80.6666666666667,26,3
69.4545454545455,29.4545454545455,74,29.7272727272727,11
70.1666666666667,32.8333333333333,77.5,35.1666666666667,6
69.7142857142857,37.2857142857143,83.5714285714286,27,7
69.1111111111111,41.1111111111111,74.8888888888889,39.5555555555556,9
69.6666666666667,46.1666666666667,74.1666666666667,38.5,6
69.4444444444444,50,74.2222222222222,50.3333333333333,9
69.56,53.6,69.92,46.84,25
69.8823529411765,57.4705882352941,67.9411764705882,51.5882352941176,17
