LHS,RHS,support,confidence,coverage,lift,count
"{player=Jarred Vanderbilt,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.7991797856859373e-4,0.6181818181818182,2.9104378886096044e-4,1.3246953529534862,34
"{player=Garrison Mathews,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1112581029236671e-4,0.5833333333333334,1.9050138907262865e-4,1.09373553068487,21
"{player=Garrison Mathews,period=3,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.7037037037037037,1.4287604180447148e-4,1.319426989397621,19
"{player=Garrison Mathews,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.3758433655245404e-4,0.7027027027027027,1.9579309432464612e-4,1.3175501373501137,26
"{player=Garrison Mathews,period=1,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1641751554438418e-4,0.7857142857142857,1.4816774705648896e-4,1.4731947964326817,22
"{player=Bismack Biyombo,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.7462627331657626e-4,0.7333333333333333,2.3812673634078583e-4,1.5714523304644297,33
"{player=Bismack Biyombo,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.0583410504034925e-4,0.5405405405405406,1.9579309432464612e-4,1.1583186711040023,20
"{player=Bismack Biyombo,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},2.1695991533271598e-4,0.6507936507936508,3.3337743087710016e-4,1.3945789079879138,41
"{player=Caleb Martin,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.5345945230850643e-4,0.8529411764705882,1.7991797856859376e-4,1.5992435490686332,29
"{player=Caleb Martin,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.8260869565217391,1.2170922079640164e-4,1.5488925527711201,19
"{player=Trevor Ariza,period=1,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.5882352941176471,1.7991797856859373e-4,1.1029265855645747,20
"{player=Wesley Matthews,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.6896551724137931,1.534594523085064e-4,1.293086341696398,20
"{player=Wesley Matthews,period=3,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.6666666666666666,1.587511575605239e-4,1.2499834636398512,20
"{player=Wesley Matthews,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.6896551724137931,1.534594523085064e-4,1.293086341696398,20
"{player=Wesley Matthews,period=1,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.5128205128205128,2.0637650482868106e-4,0.9615257412614241,20
"{player=Matisse Thybulle,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1112581029236671e-4,0.65625,1.693345680645588e-4,1.4062712616372028,21
"{player=Derrick Favors,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.6933456806455881e-4,0.6808510638297872,2.487101468448208e-4,1.4589886240288708,32
"{player=Derrick Favors,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.4816774705648896e-4,0.717948717948718,2.0637650482868103e-4,1.538484799056085,28
"{player=Derrick Favors,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.5875115756052387e-4,0.7142857142857143,2.2225162058473342e-4,1.5306353868160032,30
"{player=Austin Rivers,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.5135135135135135,1.9579309432464614e-4,0.9628251003712368,19
"{player=Austin Rivers,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.7142857142857143,1.4816774705648896e-4,1.3392679967569836,20
"{player=Grant Williams,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.76,1.3229263130043657e-4,1.4249811485494306,19
"{player=Andre Iguodala,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1641751554438418e-4,0.5945945945945946,1.9579309432464612e-4,1.114850116219327,22
"{player=Andre Iguodala,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1112581029236671e-4,0.9130434782608695,1.2170922079640164e-4,1.7119338741154484,21
"{player=Moses Brown,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.6404286281254134e-4,0.7209302325581395,2.2754332583675092e-4,1.5448738555305703,31
"{player=Moses Brown,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1641751554438418e-4,0.6285714285714286,1.852096838206112e-4,1.3469591403980825,22
"{player=Moses Brown,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1112581029236671e-4,0.5526315789473685,2.0108479957666356e-4,1.1842284308523814,21
"{player=Moses Brown,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=not_made},1.9579309432464612e-4,0.5285714285714286,3.704193676412224e-4,0.9910583176001678,37
"{player=DeAndre Jordan,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},2.275433258367509e-4,0.7962962962962963,2.8575208360894297e-4,1.7063750053022848,43
"{player=DeAndre Jordan,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},2.8575208360894297e-4,0.7605633802816901,3.757110728932398e-4,1.629803313285772,54
"{player=DeAndre Jordan,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},3.227940203730652e-4,0.8356164383561644,3.8629448339727476e-4,1.7906337264943377,61
"{player=Kevin Love,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.3758433655245404e-4,0.6190476190476191,2.2225162058473345e-4,1.160698930522719,26
"{player=Kevin Love,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.3229263130043657e-4,0.7352941176470589,1.7991797856859373e-4,1.3786582319557183,25
"{player=Kevin Love,period=1,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.3758433655245404e-4,0.65,2.116682100806985e-4,1.218733877048855,26
"{player=Josh Okogie,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1112581029236671e-4,0.6176470588235294,1.799179785685937e-4,1.3235494227173674,21
"{player=Robert Williams III,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.6404286281254134e-4,0.8157894736842105,2.010847995766636e-4,1.748146731258277,31
"{player=Robert Williams III,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},2.275433258367509e-4,0.7543859649122807,3.016271993649954e-4,1.6165657944969016,43
"{player=Robert Williams III,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.852096838206112e-4,0.7608695652173914,2.4341844159280328e-4,1.6304594337822642,35
"{player=Robert Williams III,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.5345945230850643e-4,0.7435897435897436,2.0637650482868106e-4,1.5934306847366597,29
"{player=Rodney Hood,period=2,shottype=ShortMidRange,value=2,and1=not_and1}",{made=not_made},1.3229263130043657e-4,0.78125,1.6933456806455881e-4,1.4648243714529507,25
"{player=JJ Redick,period=2,shottype=LongMidRange,value=2,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.6333333333333333,1.587511575605239e-4,1.1874842904578586,19
"{player=JJ Redick,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.3758433655245404e-4,0.5306122448979592,2.5929355734885567e-4,0.9948847975909022,26
"{player=JJ Redick,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.852096838206112e-4,0.7142857142857143,2.5929355734885567e-4,1.3392679967569836,35
"{player=Cam Reddish,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.8333333333333334,1.270009260484191e-4,1.5624793295498143,20
"{player=Cam Reddish,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.2170922079640164e-4,0.7931034482758621,1.534594523085064e-4,1.4870492929508576,23
"{player=Mychal Mulder,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.6404286281254134e-4,0.5636363636363636,2.9104378886096044e-4,1.0568042010773286,31
"{player=Mychal Mulder,period=1,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1641751554438418e-4,0.6666666666666666,1.7462627331657629e-4,1.2499834636398512,22
"{player=Willy Hernangomez,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.2170922079640164e-4,0.5111111111111111,2.3812673634078583e-4,1.0952546545661177,23
"{player=Willy Hernangomez,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.4816774705648896e-4,0.6666666666666666,2.2225162058473345e-4,1.4285930276949361,28
"{player=Willy Hernangomez,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1641751554438418e-4,0.5641025641025641,2.0637650482868106e-4,1.2088094849726383,22
"{player=Willy Hernangomez,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.5345945230850643e-4,0.6170212765957447,2.487101468448208e-4,1.3222084405261643,29
"{player=Mike Muscala,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.4816774705648896e-4,0.6666666666666666,2.2225162058473345e-4,1.2499834636398512,28
"{player=Mike Muscala,period=1,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.270009260484191e-4,0.8275862068965517,1.534594523085064e-4,1.5517036100356774,24
"{player=Michael Carter-Williams,period=2,shottype=ShortMidRange,value=2,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.8695652173913043,1.2170922079640164e-4,1.6304132134432843,20
"{player=Danuel House Jr.,period=3,shottype=Corner3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.9047619047619048,1.1112581029236672e-4,1.6964061292255124,19
"{player=Larry Nance Jr.,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.0583410504034925e-4,0.7407407407407407,1.428760418044715e-4,1.5873255863277065,20
"{player=Damion Lee,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.3758433655245404e-4,0.5652173913043478,2.4341844159280333e-4,1.0597685887381347,26
"{player=Damion Lee,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.852096838206112e-4,0.625,2.963354941129779e-4,1.1718594971623606,35
"{player=Jeremy Lamb,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.6666666666666666,1.587511575605239e-4,1.2499834636398512,20
"{player=Jeremy Lamb,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.3229263130043657e-4,0.6097560975609756,2.1695991533271598e-4,1.143277558207181,25
"{player=Maxi Kleber,period=3,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1641751554438418e-4,0.6470588235294118,1.7991797856859373e-4,1.213219244121032,22
"{player=Maxi Kleber,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.5882352941176471,1.7991797856859373e-4,1.1029265855645747,20
"{player=Maxi Kleber,period=1,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.4816774705648896e-4,0.5833333333333334,2.540018520968382e-4,1.09373553068487,28
"{player=Jaxson Hayes,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.5345945230850643e-4,0.7435897435897436,2.0637650482868106e-4,1.5934306847366597,29
"{player=Jaxson Hayes,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},2.3283503108876836e-4,0.6666666666666666,3.4925254663315257e-4,1.4285930276949361,44
"{player=Jaxson Hayes,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.6404286281254134e-4,0.7380952380952381,2.2225162058473342e-4,1.5816565663765365,31
