Category: All categories

Week,Taco Fall: (United States),Tacko Fall: (United States),Taco Tuesday: (United States)
2021-03-07,<1,2,4
2021-03-14,<1,2,5
2021-03-21,1,4,3
2021-03-28,<1,3,4
2021-04-04,<1,3,5
2021-04-11,<1,2,4
2021-04-18,<1,2,5
2021-04-25,<1,1,5
2021-05-02,<1,4,5
2021-05-09,<1,1,4
2021-05-16,<1,2,4
2021-05-23,1,2,4
2021-05-30,<1,3,3
2021-06-06,<1,2,3
2021-06-13,<1,2,5
2021-06-20,<1,1,5
2021-06-27,<1,2,5
2021-07-04,<1,2,4
2021-07-11,<1,2,4
2021-07-18,<1,1,5
2021-07-25,<1,2,4
2021-08-01,<1,3,4
2021-08-08,1,2,5
2021-08-15,<1,2,5
2021-08-22,<1,3,4
2021-08-29,1,7,4
2021-09-05,1,2,3
